,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
126,Drew Gooden,51,277,34.0,us,1981,University of Kansas,12,205.0,PF,WAS,112.5,26.76977989
127,Drew Gordon,9,17,25.0,us,1990,University of New Mexico,R,202.5,PF,PHI,110.25,26.886145399999997
128,Dwight Buycks,6,52,26.0,us,1989,Marquette University,1,187.5,PG,LAL,85.5,24.32
130,Dwight Powell,29,90,24.0,ca,1991,Stanford University,R,207.5,PF,DAL,108.0,25.0834664
132,Earl Barron,16,32,34.0,us,1981,University of Memphis,7,210.0,C,PHO,112.5,25.51020408
133,Earl Clark,10,27,27.0,us,1988,University of Louisville,5,205.0,PF,NJN,101.25,24.092801899999998
134,Ed Davis,79,656,26.0,us,1989,University of North Carolina,4,205.0,PF,LAL,108.0,25.698988699999997
136,Elfrid Payton,82,731,21.0,us,1994,University of Louisiana at Lafayette,R,190.0,PG,ORL,83.25,23.06094183
139,Elton Brand,36,96,36.0,us,1979,Duke University,15,200.0,C,ATL,123.75,30.9375
141,Eric Bledsoe,81,1377,26.0,us,1989,University of Kentucky,4,182.5,PG,PHO,85.5,25.67085757
142,Eric Gordon,61,818,27.0,us,1988,Indiana University,6,190.0,SG,NOH,96.75,26.80055402
143,Erick Green,43,146,24.0,us,1991,Virginia Polytechnic Institute and State University,R,190.0,PG,DEN,83.25,23.06094183
145,E'Twaun Moore,56,149,26.0,us,1989,Purdue University,3,190.0,SG,CHI,85.95,23.80886427
147,Evan Turner,82,779,26.0,ng,1989,Vanderbilt University,1,207.5,C,GSW,114.75,26.65118305
149,Francisco Garcia,14,45,34.0,do,1981,University of Louisville,9,197.5,SF,HOU,87.75,22.49639481
151,Gal Mekel,4,6,27.0,il,1988,Wichita State University,1,187.5,PG,NOH,85.95,24.448
152,Garrett Temple,52,204,29.0,us,1986,Louisiana State University,4,195.0,SG,WAS,87.75,23.07692308
153,Gary Harris,55,188,21.0,us,1994,Michigan State University,R,190.0,SG,DEN,94.5,26.17728532
154,Gary Neal,54,543,31.0,us,1984,Towson University,4,190.0,SG,MIN,94.5,26.17728532
155,George Hill,43,692,29.0,us,1986,Indiana University-Purdue University Indianapolis,6,187.5,PG,IND,84.6,24.064
157,Gerald Henderson,80,969,28.0,us,1987,Duke University,5,192.5,SG,CHA,96.75,26.10895598
161,Glen Davis,74,294,29.0,us,1986,Louisiana State University,7,202.5,PF,LAC,130.05,31.71467764
162,Glen Rice,5,11,24.0,us,1991,Georgia Institute of Technology,1,195.0,SG,WAS,92.7,24.37869822
165,Gordon Hayward,76,1463,25.0,us,1990,Butler University,4,200.0,SF,UTA,101.7,25.425
166,Gorgui Dieng,73,710,25.0,sn,1990,University of Louisville,1,207.5,C,MIN,108.45,25.18798084
167,Grant Jerrett,8,16,22.0,us,1993,University of Arizona,R,205.0,PF,UTA,105.75,25.1635931
168,Greg Monroe,69,1098,25.0,us,1990,Georgetown University,4,207.5,PF,DET,119.25,27.69632748
